name,pet_type,food_type,amount,brand
Simba,Lizard,Insects,212g,
Winston,Ferret,Dry Food,,Pawsome
Bella,Parrot,Seeds,,
Shadow,Hamster,Pellets,58g,
Milo,Rabbit,Vegetables,124g,
Zoe,Ferret,Dry Food,114g,
Casper,Rabbit,Vegetables,62g,
Gizmo,Lizard,Insects,179g,
Lily,Hamster,Seeds,149g,
Tiger,Fish,Pellets,173g,ChowTime
Lily,Cat,Dry Kibble,160g,
Mittens,Dog,Dry Kibble,87g,
Zeus,Dog,Wet Food,,
Leo,Fish,,115g,
Lucy,Dog,Wet Food,142g,
Leo,Lizard,Pellets,88g,
Rosie,Cat,Wet Food,67g,
Leo,Rabbit,Hay,,
Charlie,Dog,Dry Kibble,84g,GreenHarvest
Harley,Cat,Wet Food,90g,Pawsome
Jasper,Hamster,Pellets,167g,
Jasper,Rabbit,Hay,37g,SnackLand
Sophie,Snake,Eggs,44g,
Mittens,Dog,Wet Food,91g,TropicalFeast
Max,Hamster,Seeds,,
Duke,Rabbit,Vegetables,39g,
Lily,Cat,Wet Food,,
Cooper,Parrot,Seeds,,SnackLand
Cooper,Guinea Pig,Pellets,,
Tucker,Parrot,Pellets,87g,
Duke,Snake,Eggs,214g,
Winston,Fish,Pellets,37g,GrainyGraze
Lulu,Lizard,Pellets,,
Coco,Rabbit,Vegetables,,
Rocky,Turtle,,228g,
Zoe,Turtle,Vegetables,187g,
Cooper,Fish,Pellets,236g,
Duke,Snake,,53g,
Penny,Guinea Pig,Pellets,119g,TropicalFeast
Simba,Fish,Flakes,208g,
Chloe,Dog,Wet Food,177g,
Gizmo,Rabbit,Vegetables,176g,
,,,,
Chloe,Snake,Rodents,101g,
Zoe,Snake,,,YummyDelight
Buddy,Snake,Rodents,129g,
Nala,Parrot,Pellets,31g,GrainyGraze
Penny,Dog,Wet Food,250g,
Kitty,Lizard,Insects,136g,
Leo,Cat,Dry Kibble,86g,
Harley,Fish,Flakes,230g,
Ruby,Lizard,Pellets,97g,
Lucy,Guinea Pig,Pellets,238g,
Stella,Snake,,231g,
Lily,Fish,,55g,
Rocky,Ferret,,86g,
Sadie,Ferret,Wet Food,128g,
Loki,Dog,Wet Food,173g,Pawsome
Charlie,Cat,Wet Food,172g,
Lily,Guinea Pig,Pellets,94g,
Luna,Parrot,,,
Leo,Ferret,Dry Food,194g,
Tucker,Parrot,Seeds,209g,
Chloe,Lizard,Pellets,118g,
Winston,Snake,Rodents,,ChowTime
Sophie,Bird,Fruits,218g,
Molly,Lizard,Insects,225g,
Lola,Rabbit,Vegetables,99g,
Buddy,Rabbit,Hay,87g,
Finn,Snake,Eggs,,
Oliver,Fish,Flakes,106g,
Cooper,Bird,Seeds,,
Sadie,Snake,Eggs,176g,
Chloe,Cat,Dry Kibble,65g,
Zoe,Hamster,Seeds,49g,YummyDelight
Finn,Lizard,Pellets,94g,GrainyGraze
Stella,Hamster,Pellets,161g,
Chloe,Snake,Rodents,234g,
Oscar,Hamster,Pellets,,
Lola,Turtle,Pellets,161g,
Winston,Rabbit,Hay,248g,
Duke,Lizard,Pellets,,Pawsome
Charlie,Turtle,Pellets,202g,
Kitty,Snake,Rodents,212g,
,,Eggs,205g,
Kitty,Hamster,Pellets,247g,
Lucy,Parrot,Pellets,,
